Cell	Percent.Mitochondria	hpca	nCount_RNA	nFeature_RNA	Lineage
Cell_488	0	Fibroblasts	1147	848	Stromal_cells
Cell_489	0	Fibroblasts	18760	6046	Stromal_cells
Cell_490	0	Smooth_muscle_cells	817	649	Stromal_cells
Cell_491	0	Fibroblasts	2439	1640	Stromal_cells
Cell_492	0.1	Smooth_muscle_cells	939	723	Stromal_cells
Cell_493	0	Macrophage	852	705	Immune_cells
Cell_494	0	Chondrocytes	1702	1239	Stromal_cells
Cell_495	0.1	Chondrocytes	1594	1102	Stromal_cells
Cell_496	0.1	Neurons	1635	1131	
Cell_497	0.2	Fibroblasts	1971	1282	Stromal_cells
Cell_498	0	Osteoblasts	670	551	Stromal_cells
Cell_499	0.2	Smooth_muscle_cells	659	516	Stromal_cells
Cell_500	0.1	Fibroblasts	1860	1339	Stromal_cells
Cell_501	0	Epithelial_cells	1833	1280	Epithelial_cells
Cell_502	0.1	Smooth_muscle_cells	1258	913	Stromal_cells
Cell_503	0.1	Epithelial_cells	1969	1311	Epithelial_cells
Cell_504	0.1	Endothelial_cells	1582	1066	Stromal_cells
Cell_505	0	Neuroepithelial_cell	660	552	
Cell_506	0	Chondrocytes	2076	1414	Stromal_cells
Cell_507	0	Fibroblasts	917	712	Stromal_cells
Cell_508	0	Epithelial_cells	1289	903	Epithelial_cells
Cell_509	0	Fibroblasts	1824	1226	Stromal_cells
Cell_510	0.1	Fibroblasts	1119	838	Stromal_cells
Cell_511	0	Smooth_muscle_cells	3145	1920	Stromal_cells
Cell_512	0	Chondrocytes	1398	1030	Stromal_cells
Cell_513	0	Fibroblasts	5557	2920	Stromal_cells
Cell_514	0	Chondrocytes	1616	1143	Stromal_cells
Cell_515	0.1	Chondrocytes	919	707	Stromal_cells
Cell_516	0	Fibroblasts	4628	2574	Stromal_cells
Cell_517	0	Osteoblasts	1084	824	Stromal_cells
Cell_518	0	Chondrocytes	7484	3292	Stromal_cells
Cell_519	0	Fibroblasts	923	694	Stromal_cells
Cell_520	0	Chondrocytes	1058	824	Stromal_cells
Cell_521	0	Fibroblasts	1555	1140	Stromal_cells
Cell_522	0.1	Fibroblasts	772	621	Stromal_cells
Cell_523	0.1	Epithelial_cells	985	749	Epithelial_cells
Cell_524	0.1	Smooth_muscle_cells	833	660	Stromal_cells
Cell_525	0	Fibroblasts	1608	1125	Stromal_cells
Cell_526	0	Chondrocytes	2283	1554	Stromal_cells
Cell_527	0	Fibroblasts	1292	941	Stromal_cells
Cell_528	0	Chondrocytes	1891	1254	Stromal_cells
Cell_529	0	Smooth_muscle_cells	12577	4802	Stromal_cells
Cell_530	0	Epithelial_cells	1262	931	Epithelial_cells
Cell_531	0	Smooth_muscle_cells	716	574	Stromal_cells
Cell_532	0	Smooth_muscle_cells	3315	2040	Stromal_cells
Cell_533	0	Chondrocytes	12110	4993	Stromal_cells
Cell_534	0	Epithelial_cells	1997	1422	Epithelial_cells
Cell_535	0	Fibroblasts	1308	946	Stromal_cells
Cell_536	0	Fibroblasts	2866	1849	Stromal_cells
Cell_537	0.1	Osteoblasts	1619	1139	Stromal_cells
Cell_538	0	Fibroblasts	1400	942	Stromal_cells
Cell_539	0.2	Smooth_muscle_cells	980	735	Stromal_cells
Cell_540	0.1	Epithelial_cells	1144	884	Epithelial_cells
Cell_541	0	Chondrocytes	1041	791	Stromal_cells
Cell_542	0.1	Epithelial_cells	1401	984	Epithelial_cells
Cell_543	0.1	Chondrocytes	2089	1396	Stromal_cells
Cell_544	0	Smooth_muscle_cells	725	617	Stromal_cells
Cell_545	0	Chondrocytes	1957	1260	Stromal_cells
Cell_546	0	Smooth_muscle_cells	1804	1280	Stromal_cells
Cell_547	0	Chondrocytes	754	573	Stromal_cells
Cell_548	0	Smooth_muscle_cells	1843	1282	Stromal_cells
Cell_549	0.1	Smooth_muscle_cells	950	740	Stromal_cells
Cell_550	0	Endothelial_cells	1241	913	Stromal_cells
Cell_551	0.1	Epithelial_cells	1440	1011	Epithelial_cells
Cell_552	0	Chondrocytes	5083	2856	Stromal_cells
Cell_553	0	Epithelial_cells	1328	935	Epithelial_cells
Cell_554	0	Smooth_muscle_cells	1516	1083	Stromal_cells
Cell_555	0	Fibroblasts	2024	1337	Stromal_cells
Cell_556	0.1	Smooth_muscle_cells	1377	977	Stromal_cells
Cell_557	0	Chondrocytes	1900	1269	Stromal_cells
Cell_558	0	Fibroblasts	1234	890	Stromal_cells
Cell_559	0.1	Chondrocytes	857	676	Stromal_cells
Cell_560	0.1	Smooth_muscle_cells	1195	871	Stromal_cells
Cell_561	0	Fibroblasts	914	724	Stromal_cells
Cell_562	0	Smooth_muscle_cells	995	799	Stromal_cells
Cell_563	0.1	Smooth_muscle_cells	4637	2666	Stromal_cells
Cell_564	0	Osteoblasts	675	570	Stromal_cells
Cell_565	0.1	Chondrocytes	3114	1877	Stromal_cells
Cell_566	0	Endothelial_cells	1304	955	Stromal_cells
Cell_567	0.1	Smooth_muscle_cells	848	639	Stromal_cells
Cell_568	0	Osteoblasts	1183	882	Stromal_cells
Cell_569	0	Macrophage	891	693	Immune_cells
Cell_570	0	Fibroblasts	1809	1235	Stromal_cells
Cell_571	0	Chondrocytes	5182	2825	Stromal_cells
Cell_572	0.2	Epithelial_cells	1262	951	Epithelial_cells
Cell_573	0.1	Fibroblasts	1238	902	Stromal_cells
Cell_574	0.1	Fibroblasts	7450	3613	Stromal_cells
Cell_575	0.3	Osteoblasts	1143	888	Stromal_cells
Cell_576	0	Osteoblasts	734	601	Stromal_cells
Cell_577	0.1	Smooth_muscle_cells	1479	1047	Stromal_cells
Cell_578	0.1	Endothelial_cells	1779	1268	Stromal_cells
Cell_579	0.1	Astrocyte	1370	975	
Cell_580	0	Fibroblasts	1798	1252	Stromal_cells
Cell_581	0.1	Epithelial_cells	1787	1231	Epithelial_cells
Cell_582	0.1	Epithelial_cells	1603	1155	Epithelial_cells
Cell_583	0	Endothelial_cells	1275	943	Stromal_cells
Cell_584	0	Chondrocytes	1074	797	Stromal_cells
Cell_585	0	Chondrocytes	930	708	Stromal_cells
Cell_586	0	Epithelial_cells	1704	1149	Epithelial_cells
Cell_587	0.2	Chondrocytes	661	553	Stromal_cells
Cell_588	0	Smooth_muscle_cells	972	766	Stromal_cells
Cell_589	0	Osteoblasts	669	534	Stromal_cells
Cell_590	0.1	Fibroblasts	1703	1230	Stromal_cells
Cell_591	0	Osteoblasts	13554	5085	Stromal_cells
Cell_592	0	Chondrocytes	967	736	Stromal_cells
Cell_593	0	Fibroblasts	806	619	Stromal_cells
Cell_594	0.1	Chondrocytes	5575	3039	Stromal_cells
Cell_595	0	Fibroblasts	841	681	Stromal_cells
Cell_596	0.1	Fibroblasts	1036	794	Stromal_cells
Cell_597	0.1	Fibroblasts	3698	2210	Stromal_cells
Cell_598	0	Epithelial_cells	1189	852	Epithelial_cells
Cell_599	0	Endothelial_cells	786	611	Stromal_cells
Cell_600	0.1	Epithelial_cells	1605	1144	Epithelial_cells
Cell_601	0	Fibroblasts	1054	827	Stromal_cells
Cell_602	0	Osteoblasts	1283	929	Stromal_cells
Cell_603	0	Chondrocytes	5536	2901	Stromal_cells
Cell_604	0.1	Fibroblasts	1704	1231	Stromal_cells
Cell_605	0	Chondrocytes	1867	1257	Stromal_cells
Cell_606	0	Chondrocytes	2267	1480	Stromal_cells
Cell_607	0	Chondrocytes	4668	2414	Stromal_cells
Cell_608	0	Chondrocytes	907	684	Stromal_cells
Cell_609	0	Osteoblasts	5197	2689	Stromal_cells
Cell_610	0.1	Chondrocytes	1941	1312	Stromal_cells
Cell_611	0.1	Chondrocytes	3500	2233	Stromal_cells
Cell_612	0	Fibroblasts	1315	965	Stromal_cells
Cell_613	0	Smooth_muscle_cells	1577	1131	Stromal_cells
Cell_614	0	Chondrocytes	964	718	Stromal_cells
Cell_615	0	Smooth_muscle_cells	694	589	Stromal_cells
Cell_616	0.1	Epithelial_cells	1435	1049	Epithelial_cells
Cell_617	0	Smooth_muscle_cells	3115	1933	Stromal_cells
Cell_618	0	Fibroblasts	878	666	Stromal_cells
Cell_619	0	Chondrocytes	1283	952	Stromal_cells
Cell_620	0.1	Osteoblasts	1951	1247	Stromal_cells
Cell_621	0	Fibroblasts	818	649	Stromal_cells
Cell_622	0	Fibroblasts	1235	910	Stromal_cells
Cell_623	0	Osteoblasts	826	656	Stromal_cells
Cell_624	0	Smooth_muscle_cells	653	547	Stromal_cells
Cell_625	0	Endothelial_cells	1321	962	Stromal_cells
Cell_626	0.3	Chondrocytes	882	669	Stromal_cells
Cell_627	0.3	NK_cell	792	644	Immune_cells
Cell_628	0	Epithelial_cells	1950	1296	Epithelial_cells
Cell_629	0	Smooth_muscle_cells	598	504	Stromal_cells
Cell_630	0	Fibroblasts	1970	1330	Stromal_cells
Cell_631	0.2	Osteoblasts	636	534	Stromal_cells
Cell_632	0.2	Fibroblasts	1039	812	Stromal_cells
Cell_633	0.1	Chondrocytes	1537	1104	Stromal_cells
Cell_634	0	Smooth_muscle_cells	5200	2877	Stromal_cells
Cell_635	0	Smooth_muscle_cells	714	587	Stromal_cells
Cell_636	0	Osteoblasts	615	517	Stromal_cells
Cell_637	0.1	Epithelial_cells	1765	1248	Epithelial_cells
Cell_638	0	Fibroblasts	1418	1000	Stromal_cells
Cell_639	0.1	Smooth_muscle_cells	1268	940	Stromal_cells
Cell_640	0.1	Epithelial_cells	1553	1130	Epithelial_cells
Cell_641	0	Chondrocytes	2037	1416	Stromal_cells
Cell_642	0	Fibroblasts	23593	6757	Stromal_cells
Cell_643	0	Tissue_stem_cells	931	736	
Cell_644	0.1	Smooth_muscle_cells	1136	836	Stromal_cells
Cell_645	0	Smooth_muscle_cells	2430	1648	Stromal_cells
Cell_646	0	Osteoblasts	727	595	Stromal_cells
Cell_647	0	Fibroblasts	2007	1386	Stromal_cells
Cell_648	0	T_cells	756	607	Immune_cells
Cell_649	0.1	Endothelial_cells	1088	843	Stromal_cells
Cell_650	0	Endothelial_cells	1725	1199	Stromal_cells
Cell_651	0	Fibroblasts	8126	3801	Stromal_cells
Cell_652	0.1	Endothelial_cells	1157	891	Stromal_cells
Cell_653	0	Epithelial_cells	1246	911	Epithelial_cells
Cell_654	0	Chondrocytes	1343	969	Stromal_cells
Cell_655	0	Epithelial_cells	2831	1828	Epithelial_cells
Cell_656	0	Epithelial_cells	1490	1061	Epithelial_cells
Cell_657	0	Endothelial_cells	1964	1282	Stromal_cells
Cell_658	0	Endothelial_cells	1756	1213	Stromal_cells
Cell_659	0	Epithelial_cells	1926	1318	Epithelial_cells
Cell_660	0	Fibroblasts	4033	2307	Stromal_cells
Cell_661	0	Fibroblasts	6630	3275	Stromal_cells
Cell_662	0	Fibroblasts	1490	1025	Stromal_cells
Cell_663	0	Fibroblasts	1947	1227	Stromal_cells
Cell_664	0	Chondrocytes	1721	1200	Stromal_cells
Cell_665	0	Chondrocytes	2156	1464	Stromal_cells
Cell_666	0	Fibroblasts	2605	1676	Stromal_cells
Cell_667	0	Chondrocytes	1174	873	Stromal_cells
Cell_668	0	Chondrocytes	3821	2096	Stromal_cells
Cell_669	0	Chondrocytes	749	603	Stromal_cells
Cell_670	0	Smooth_muscle_cells	4425	2594	Stromal_cells
Cell_671	0.1	Epithelial_cells	1733	1119	Epithelial_cells
Cell_672	0	Osteoblasts	1003	751	Stromal_cells
Cell_673	0	Fibroblasts	859	676	Stromal_cells
Cell_674	0.1	Fibroblasts	1716	1232	Stromal_cells
Cell_675	0.1	Smooth_muscle_cells	1297	978	Stromal_cells
Cell_676	0	Smooth_muscle_cells	4438	2494	Stromal_cells
Cell_677	0	Smooth_muscle_cells	800	648	Stromal_cells
Cell_678	0	Smooth_muscle_cells	1338	988	Stromal_cells
Cell_679	0	Osteoblasts	1494	1058	Stromal_cells
Cell_680	0	Fibroblasts	1897	1278	Stromal_cells
Cell_681	0	Fibroblasts	3678	2237	Stromal_cells
Cell_682	0	Fibroblasts	4245	2442	Stromal_cells
Cell_683	0.1	Smooth_muscle_cells	1516	1018	Stromal_cells
Cell_684	0	Smooth_muscle_cells	1934	1306	Stromal_cells
Cell_685	0	Fibroblasts	1260	917	Stromal_cells
Cell_686	0	Epithelial_cells	1816	1272	Epithelial_cells
Cell_687	0	Smooth_muscle_cells	1067	824	Stromal_cells
Cell_688	0.1	Smooth_muscle_cells	696	564	Stromal_cells
Cell_689	0.1	Astrocyte	1680	1145	
Cell_690	0.1	Fibroblasts	7397	3483	Stromal_cells
Cell_691	0	Endothelial_cells	1411	1029	Stromal_cells
Cell_692	0	Chondrocytes	2240	1460	Stromal_cells
Cell_693	0	Fibroblasts	668	551	Stromal_cells
Cell_694	0	Osteoblasts	739	596	Stromal_cells
Cell_695	0	Epithelial_cells	1764	1264	Epithelial_cells
Cell_696	0	Smooth_muscle_cells	770	610	Stromal_cells
Cell_697	0.1	Chondrocytes	1567	1119	Stromal_cells
Cell_698	0	Fibroblasts	1221	937	Stromal_cells
Cell_699	0.1	Chondrocytes	2290	1521	Stromal_cells
Cell_700	0	Smooth_muscle_cells	1419	1003	Stromal_cells
Cell_701	0	Chondrocytes	21919	6282	Stromal_cells
Cell_702	0	Chondrocytes	831	651	Stromal_cells
Cell_703	0	Chondrocytes	2197	1362	Stromal_cells
Cell_704	0.1	Endothelial_cells	1514	1110	Stromal_cells
Cell_705	0	Fibroblasts	2347	1554	Stromal_cells
Cell_706	0	Fibroblasts	6353	3295	Stromal_cells
Cell_707	0	Chondrocytes	1379	980	Stromal_cells
Cell_708	0	Smooth_muscle_cells	2368	1554	Stromal_cells
Cell_709	0	Fibroblasts	3472	2124	Stromal_cells
Cell_710	0	Epithelial_cells	1344	963	Epithelial_cells
Cell_711	0.1	Epithelial_cells	1082	796	Epithelial_cells
Cell_712	0	Epithelial_cells	1874	1307	Epithelial_cells
Cell_713	0.2	Osteoblasts	1261	891	Stromal_cells
Cell_714	0	Smooth_muscle_cells	14005	5310	Stromal_cells
Cell_715	0	Osteoblasts	2947	1901	Stromal_cells
Cell_716	0	Chondrocytes	10372	4424	Stromal_cells
Cell_717	0.1	Smooth_muscle_cells	1174	879	Stromal_cells
Cell_718	0.1	Fibroblasts	1695	1161	Stromal_cells
Cell_719	0.1	Fibroblasts	1685	1139	Stromal_cells
Cell_720	1.4	Epithelial_cells	1668	1143	Epithelial_cells
Cell_721	0	Fibroblasts	21327	6465	Stromal_cells
Cell_722	0	Fibroblasts	3495	2015	Stromal_cells
Cell_723	0.1	Epithelial_cells	1884	1230	Epithelial_cells
Cell_724	0	Fibroblasts	754	614	Stromal_cells
Cell_725	0	Fibroblasts	6800	3218	Stromal_cells
Cell_726	0	Chondrocytes	1025	797	Stromal_cells
Cell_727	0.1	Fibroblasts	1405	1041	Stromal_cells
Cell_728	0	Chondrocytes	2112	1318	Stromal_cells
Cell_729	0	Smooth_muscle_cells	1055	818	Stromal_cells
Cell_730	0.2	Smooth_muscle_cells	1188	853	Stromal_cells
Cell_731	0	Chondrocytes	1094	857	Stromal_cells
Cell_732	0	Fibroblasts	7561	3507	Stromal_cells
Cell_733	0	Chondrocytes	1740	1247	Stromal_cells
Cell_734	0	Fibroblasts	1307	945	Stromal_cells
Cell_735	0.1	Chondrocytes	3010	1787	Stromal_cells
Cell_736	0	Chondrocytes	2830	1620	Stromal_cells
Cell_737	0	Epithelial_cells	1477	1084	Epithelial_cells
Cell_738	0	Smooth_muscle_cells	2070	1362	Stromal_cells
Cell_739	0	Chondrocytes	779	608	Stromal_cells
Cell_740	0	Fibroblasts	1658	1131	Stromal_cells
Cell_741	0	Epithelial_cells	1849	1261	Epithelial_cells
Cell_742	0	Fibroblasts	910	709	Stromal_cells
Cell_743	0	Fibroblasts	1785	1227	Stromal_cells
Cell_744	0	Fibroblasts	2803	1815	Stromal_cells
Cell_745	0	Chondrocytes	2647	1705	Stromal_cells
Cell_746	0	Epithelial_cells	1454	1037	Epithelial_cells
Cell_747	0.1	Fibroblasts	1538	1060	Stromal_cells
Cell_748	0	Fibroblasts	1254	919	Stromal_cells
Cell_749	0.1	Fibroblasts	1053	813	Stromal_cells
Cell_750	0	Chondrocytes	2559	1601	Stromal_cells
Cell_751	0	Chondrocytes	3373	1990	Stromal_cells
Cell_752	0	Chondrocytes	2180	1443	Stromal_cells
Cell_753	0	Chondrocytes	2389	1605	Stromal_cells
Cell_754	0.1	Osteoblasts	1019	810	Stromal_cells
Cell_755	0	Chondrocytes	6602	3422	Stromal_cells
Cell_756	0.1	Macrophage	795	650	Immune_cells
Cell_757	0	Osteoblasts	1564	1119	Stromal_cells
Cell_758	0	Endothelial_cells	686	564	Stromal_cells
Cell_759	0	Fibroblasts	1791	1215	Stromal_cells
Cell_760	0.1	Smooth_muscle_cells	1061	812	Stromal_cells
Cell_761	0	Fibroblasts	5093	2744	Stromal_cells
Cell_762	0.1	Smooth_muscle_cells	1073	825	Stromal_cells
Cell_763	0	Chondrocytes	681	562	Stromal_cells
Cell_764	0	Fibroblasts	906	722	Stromal_cells
Cell_765	0	Neurons	1242	932	
Cell_766	0	Osteoblasts	746	616	Stromal_cells
Cell_767	0.1	Smooth_muscle_cells	7649	3729	Stromal_cells
Cell_768	0.1	Epithelial_cells	1320	968	Epithelial_cells
Cell_769	0.1	Epithelial_cells	1959	1235	Epithelial_cells
Cell_770	0	Chondrocytes	9786	4296	Stromal_cells
Cell_771	0	Chondrocytes	2002	1315	Stromal_cells
Cell_772	0.1	Fibroblasts	826	676	Stromal_cells
Cell_773	0.1	MSC	3578	2203	
Cell_774	0	Fibroblasts	1144	844	Stromal_cells
Cell_775	0	Hepatocytes	615	504	
Cell_776	0	Fibroblasts	10617	4459	Stromal_cells
Cell_777	0	Smooth_muscle_cells	620	512	Stromal_cells
Cell_778	0	Fibroblasts	4617	2560	Stromal_cells
Cell_779	0	Fibroblasts	21176	6068	Stromal_cells
Cell_780	0	Endothelial_cells	956	721	Stromal_cells
Cell_781	0.1	Epithelial_cells	1449	1059	Epithelial_cells
Cell_782	0	Fibroblasts	1951	1281	Stromal_cells
Cell_783	0	Epithelial_cells	1679	1174	Epithelial_cells
Cell_784	0	Endothelial_cells	1291	949	Stromal_cells
Cell_785	0	Epithelial_cells	1074	758	Epithelial_cells
Cell_786	0.1	Chondrocytes	1519	1059	Stromal_cells
Cell_787	0	Fibroblasts	2083	1383	Stromal_cells
Cell_788	0.1	Smooth_muscle_cells	888	706	Stromal_cells
Cell_789	0.2	Chondrocytes	809	616	Stromal_cells
Cell_790	0	Endothelial_cells	783	646	Stromal_cells
Cell_791	0.1	Epithelial_cells	1392	954	Epithelial_cells
Cell_792	0	Osteoblasts	1077	783	Stromal_cells
Cell_793	0	Smooth_muscle_cells	2635	1693	Stromal_cells
Cell_794	0.3	Smooth_muscle_cells	750	553	Stromal_cells
Cell_795	0.1	Epithelial_cells	6369	3142	Epithelial_cells
Cell_796	0	Osteoblasts	17090	5138	Stromal_cells
Cell_797	0.3	Epithelial_cells	1732	1221	Epithelial_cells
Cell_798	0.2	Neuroepithelial_cell	653	519	
Cell_799	0	Platelets	619	505	
Cell_800	0.1	HSC_-G-CSF	1141	851	
Cell_801	0	Platelets	1871	1277	
Cell_802	0	Osteoblasts	1283	862	Stromal_cells
Cell_803	0.3	Osteoblasts	22575	6373	Stromal_cells
Cell_804	0.2	MSC	517	441	
Cell_805	0	Endothelial_cells	2573	1738	Stromal_cells
Cell_806	0.1	Neurons	1783	1120	
Cell_807	0.1	Fibroblasts	17148	5652	Stromal_cells
Cell_808	1.3	Fibroblasts	614	512	Stromal_cells
Cell_809	0	Epithelial_cells	1268	857	Epithelial_cells
Cell_810	0.2	NK_cell	817	659	Immune_cells
Cell_811	0	Fibroblasts	8161	3652	Stromal_cells
Cell_812	0	Platelets	2558	1443	
Cell_813	0	HSC_CD34+	907	731	
Cell_814	0.1	Epithelial_cells	4201	2182	Epithelial_cells
Cell_815	0	Fibroblasts	644	546	Stromal_cells
Cell_816	0	Fibroblasts	2018	1191	Stromal_cells
Cell_817	0	Chondrocytes	1160	864	Stromal_cells
Cell_818	0	Chondrocytes	12365	4516	Stromal_cells
Cell_819	0	Fibroblasts	37425	7262	Stromal_cells
Cell_820	0	Chondrocytes	5824	2844	Stromal_cells
Cell_821	0	Fibroblasts	11763	4695	Stromal_cells
Cell_822	0	Fibroblasts	3035	1539	Stromal_cells
Cell_823	0	Epithelial_cells	43528	7056	Epithelial_cells
Cell_824	0.1	T_cells	1287	971	Immune_cells
Cell_825	0	Fibroblasts	7891	3906	Stromal_cells
Cell_826	0.3	Epithelial_cells	1206	891	Epithelial_cells
Cell_827	0	Osteoblasts	1037	786	Stromal_cells
Cell_828	0.1	Neurons	1088	782	
Cell_829	0	T_cells	1042	809	Immune_cells
Cell_830	0	Fibroblasts	34664	7370	Stromal_cells
Cell_831	0	Chondrocytes	910	666	Stromal_cells
Cell_832	0	Epithelial_cells	6994	3326	Epithelial_cells
Cell_833	1.9	Osteoblasts	732	541	Stromal_cells
Cell_834	0.2	Smooth_muscle_cells	496	402	Stromal_cells
Cell_835	0.1	Macrophage	1582	1138	Immune_cells
Cell_836	0	Chondrocytes	5272	2926	Stromal_cells
Cell_837	1	Epithelial_cells	725	581	Epithelial_cells
Cell_838	0	Fibroblasts	19610	5836	Stromal_cells
Cell_839	0.2	Smooth_muscle_cells	524	449	Stromal_cells
Cell_840	0.1	Chondrocytes	2003	1342	Stromal_cells
Cell_841	0.2	Chondrocytes	1068	686	Stromal_cells
Cell_842	0.8	Smooth_muscle_cells	645	540	Stromal_cells
Cell_843	0	Chondrocytes	799	619	Stromal_cells
Cell_844	0.8	T_cells	1566	1122	Immune_cells
Cell_845	0	Platelets	671	565	
Cell_846	0	Osteoblasts	558	452	Stromal_cells
Cell_847	1.4	Fibroblasts	592	484	Stromal_cells
Cell_848	0	Fibroblasts	59944	8132	Stromal_cells
Cell_849	0	Neurons	1596	1014	
Cell_850	0	Epithelial_cells	12035	3952	Epithelial_cells
Cell_851	0.4	Fibroblasts	717	551	Stromal_cells
Cell_852	0.2	Osteoblasts	644	451	Stromal_cells
Cell_853	0.2	Neurons	1713	1188	
Cell_854	0.1	Fibroblasts	3012	1953	Stromal_cells
Cell_855	0.1	Astrocyte	1595	1164	
Cell_856	0	Epithelial_cells	1055	803	Epithelial_cells
Cell_857	0	Fibroblasts	12669	4678	Stromal_cells
Cell_858	0	Osteoblasts	1023	752	Stromal_cells
Cell_859	0	Fibroblasts	6181	2756	Stromal_cells
Cell_860	0.1	Epithelial_cells	1506	1028	Epithelial_cells
Cell_861	0.8	Fibroblasts	749	621	Stromal_cells
Cell_862	0	Chondrocytes	937	736	Stromal_cells
Cell_863	0	Chondrocytes	1199	843	Stromal_cells
Cell_864	0.1	Chondrocytes	4569	2635	Stromal_cells
Cell_865	0.1	Astrocyte	1915	981	
Cell_866	0.1	Chondrocytes	667	530	Stromal_cells
Cell_867	0.1	Epithelial_cells	86593	9314	Epithelial_cells
Cell_868	0	Chondrocytes	11492	4373	Stromal_cells
Cell_869	0	Neurons	15032	4999	
Cell_870	0	Epithelial_cells	1481	1058	Epithelial_cells
Cell_871	0.1	DC	8275	3572	
Cell_872	0	Smooth_muscle_cells	8099	3761	Stromal_cells
Cell_873	0.1	Fibroblasts	4045	2396	Stromal_cells
Cell_874	0	Fibroblasts	647	526	Stromal_cells
Cell_875	0	Epithelial_cells	1092	820	Epithelial_cells
Cell_876	0	Fibroblasts	1783	1222	Stromal_cells
Cell_877	0	Fibroblasts	567	468	Stromal_cells
Cell_878	0	Epithelial_cells	18179	5707	Epithelial_cells
Cell_879	0.1	Osteoblasts	14457	5408	Stromal_cells
Cell_880	0.1	Fibroblasts	898	686	Stromal_cells
Cell_881	0.1	Smooth_muscle_cells	6618	3075	Stromal_cells
Cell_882	0.2	Epithelial_cells	1313	1005	Epithelial_cells
Cell_883	0.2	T_cells	1273	909	Immune_cells
Cell_884	0	Fibroblasts	1770	1213	Stromal_cells
Cell_885	0.2	Epithelial_cells	1387	988	Epithelial_cells
Cell_886	0.1	Smooth_muscle_cells	1153	880	Stromal_cells
Cell_887	0.1	Platelets	3348	1992	
Cell_888	0.1	Fibroblasts	3921	2115	Stromal_cells
Cell_889	0.1	Fibroblasts	1302	878	Stromal_cells
Cell_890	0.1	Fibroblasts	681	535	Stromal_cells
Cell_891	0	Smooth_muscle_cells	1616	1125	Stromal_cells
Cell_892	0	Endothelial_cells	1221	895	Stromal_cells
Cell_893	0	Smooth_muscle_cells	2003	1267	Stromal_cells
Cell_894	0.1	Smooth_muscle_cells	1733	1232	Stromal_cells
Cell_895	0.2	Fibroblasts	873	692	Stromal_cells
Cell_896	0	Fibroblasts	1202	865	Stromal_cells
Cell_897	0	Smooth_muscle_cells	11444	4276	Stromal_cells
Cell_898	0.1	Smooth_muscle_cells	1888	1201	Stromal_cells
Cell_899	0	Neurons	8297	3431	
Cell_900	0	Fibroblasts	1395	973	Stromal_cells
Cell_901	0.1	T_cells	748	620	Immune_cells
Cell_902	0.1	Fibroblasts	1817	1248	Stromal_cells
Cell_903	0.1	Fibroblasts	1746	1167	Stromal_cells
Cell_904	0.1	Fibroblasts	21449	6717	Stromal_cells
Cell_905	0.2	Endothelial_cells	3266	2010	Stromal_cells
Cell_906	0.1	Smooth_muscle_cells	9486	4241	Stromal_cells
Cell_907	0	Endothelial_cells	4291	2314	Stromal_cells
Cell_908	0.1	Fibroblasts	1994	1315	Stromal_cells
Cell_909	0.2	Smooth_muscle_cells	487	421	Stromal_cells
Cell_910	0.2	Epithelial_cells	1813	1191	Epithelial_cells
Cell_911	0	Endothelial_cells	701	595	Stromal_cells
Cell_912	0	Smooth_muscle_cells	994	776	Stromal_cells
Cell_913	0	Chondrocytes	1067	794	Stromal_cells
Cell_914	0.2	Fibroblasts	660	536	Stromal_cells
Cell_915	0	Epithelial_cells	5235	2709	Epithelial_cells
Cell_916	0	Chondrocytes	1800	1179	Stromal_cells
Cell_917	0	Astrocyte	5850	2824	
Cell_918	0.1	Epithelial_cells	27292	7085	Epithelial_cells
Cell_919	0	Endothelial_cells	913	693	Stromal_cells
Cell_920	0.2	Fibroblasts	1667	1103	Stromal_cells
Cell_921	0.1	Astrocyte	6737	3227	
Cell_922	0.1	HSC_-G-CSF	7069	3535	
Cell_923	0.1	Smooth_muscle_cells	1005	807	Stromal_cells
Cell_924	0.1	Fibroblasts	9769	3969	Stromal_cells
Cell_925	0.1	Osteoblasts	1736	1186	Stromal_cells
Cell_926	0.1	Endothelial_cells	1675	1142	Stromal_cells
Cell_927	0	Fibroblasts	1430	1038	Stromal_cells
Cell_928	0.1	T_cells	7680	3490	Immune_cells
Cell_929	0.1	Fibroblasts	1337	944	Stromal_cells
Cell_930	0.7	Epithelial_cells	2121	1323	Epithelial_cells
Cell_931	0	Epithelial_cells	7704	3440	Epithelial_cells
Cell_932	0	Osteoblasts	5789	2939	Stromal_cells
Cell_933	0	Fibroblasts	10673	4559	Stromal_cells
Cell_934	0	Epithelial_cells	30751	7020	Epithelial_cells
Cell_935	0	Smooth_muscle_cells	2011	1313	Stromal_cells
Cell_936	0	Neurons	787	620	
Cell_937	0.1	Osteoblasts	5133	2429	Stromal_cells
Cell_938	0	T_cells	1096	812	Immune_cells
Cell_939	0.8	Endothelial_cells	493	428	Stromal_cells
Cell_940	0.3	Monocyte	617	517	Immune_cells
Cell_941	0	Fibroblasts	950	751	Stromal_cells
Cell_942	0	Smooth_muscle_cells	740	583	Stromal_cells
Cell_943	0.3	T_cells	1156	872	Immune_cells
Cell_944	0	Smooth_muscle_cells	1553	1025	Stromal_cells
Cell_945	0	Fibroblasts	16375	5336	Stromal_cells
Cell_946	0	Smooth_muscle_cells	4436	2452	Stromal_cells
