Cell	Percent.Mitochondria	hpca	nCount_RNA	nFeature_RNA	Lineage
Cell_7949	0	Epithelial_cells	5431	2580	Epithelial_cells
Cell_7950	0	Smooth_muscle_cells	569	463	Stromal_cells
Cell_7951	0	Endothelial_cells	10160	4182	Stromal_cells
Cell_7952	0.1	Tissue_stem_cells	1413	936	
Cell_7953	0	T_cells	790	608	Immune_cells
Cell_7954	0.3	T_cells	791	646	Immune_cells
Cell_7955	0	Platelets	792	634	
Cell_7956	0	B_cell	801	656	Immune_cells
Cell_7957	0	Chondrocytes	658	515	Stromal_cells
Cell_7958	0	Fibroblasts	704	569	Stromal_cells
Cell_7959	0.1	Macrophage	1199	920	Immune_cells
Cell_7960	0.2	B_cell	842	666	Immune_cells
Cell_7961	0	T_cells	887	703	Immune_cells
Cell_7962	0	T_cells	754	633	Immune_cells
Cell_7963	0	T_cells	586	490	Immune_cells
Cell_7964	0.1	HSC_-G-CSF	1661	1138	
Cell_7965	0	Fibroblasts	626	536	Stromal_cells
Cell_7966	0	T_cells	787	616	Immune_cells
Cell_7967	0.1	T_cells	1423	1014	Immune_cells
Cell_7968	0.3	T_cells	622	530	Immune_cells
Cell_7969	0.1	Fibroblasts	1303	975	Stromal_cells
Cell_7970	0.1	Epithelial_cells	1661	1143	Epithelial_cells
Cell_7971	0.1	T_cells	780	617	Immune_cells
Cell_7972	0.4	Smooth_muscle_cells	1359	1001	Stromal_cells
Cell_7973	0.2	T_cells	556	472	Immune_cells
Cell_7974	0	Epithelial_cells	1793	1209	Epithelial_cells
Cell_7975	0	Epithelial_cells	1980	1384	Epithelial_cells
Cell_7976	0.1	Platelets	1698	1181	
Cell_7977	0.6	NK_cell	506	425	Immune_cells
Cell_7978	0.3	Neuroepithelial_cell	1325	954	
Cell_7979	0	NK_cell	517	447	Immune_cells
Cell_7980	0	T_cells	655	543	Immune_cells
Cell_7981	0	Endothelial_cells	4378	2516	Stromal_cells
Cell_7982	0	Smooth_muscle_cells	1371	901	Stromal_cells
Cell_7983	0.2	Epithelial_cells	941	722	Epithelial_cells
Cell_7984	0	B_cell	1066	830	Immune_cells
Cell_7985	0.2	Chondrocytes	548	468	Stromal_cells
Cell_7986	0	Endothelial_cells	1195	867	Stromal_cells
Cell_7987	0.1	Smooth_muscle_cells	749	610	Stromal_cells
Cell_7988	0.1	Chondrocytes	1168	870	Stromal_cells
Cell_7989	0	Smooth_muscle_cells	585	492	Stromal_cells
Cell_7990	0.1	Smooth_muscle_cells	1482	1040	Stromal_cells
Cell_7991	0.3	B_cell	654	541	Immune_cells
Cell_7992	0.1	Fibroblasts	699	551	Stromal_cells
Cell_7993	0.1	T_cells	692	569	Immune_cells
Cell_7994	0.2	Fibroblasts	515	451	Stromal_cells
Cell_7995	0.1	T_cells	1359	1047	Immune_cells
Cell_7996	0	NK_cell	746	593	Immune_cells
Cell_7997	0.1	Endothelial_cells	758	613	Stromal_cells
Cell_7998	0.2	Endothelial_cells	1226	897	Stromal_cells
Cell_7999	0	Smooth_muscle_cells	1289	902	Stromal_cells
Cell_8000	0	T_cells	1094	820	Immune_cells
Cell_8001	0	NK_cell	574	495	Immune_cells
Cell_8002	0	T_cells	701	584	Immune_cells
Cell_8003	0.1	Platelets	884	715	
Cell_8004	0.1	Endothelial_cells	5944	2887	Stromal_cells
Cell_8005	0	Macrophage	5175	2938	Immune_cells
Cell_8006	0	T_cells	706	568	Immune_cells
Cell_8007	0	Fibroblasts	1178	832	Stromal_cells
Cell_8008	0.1	Fibroblasts	1443	1030	Stromal_cells
Cell_8009	0.1	Fibroblasts	1955	1276	Stromal_cells
Cell_8010	0	B_cell	1055	820	Immune_cells
Cell_8011	0	B_cell	1962	1306	Immune_cells
Cell_8012	0.1	Epithelial_cells	1869	1370	Epithelial_cells
Cell_8013	0.3	DC	695	575	
Cell_8014	0	Fibroblasts	536	458	Stromal_cells
Cell_8015	0.1	T_cells	763	617	Immune_cells
Cell_8016	0	Fibroblasts	4470	2594	Stromal_cells
Cell_8017	0.1	B_cell	908	719	Immune_cells
Cell_8018	0.5	T_cells	1133	855	Immune_cells
Cell_8019	0	Endothelial_cells	1121	866	Stromal_cells
Cell_8020	0	Smooth_muscle_cells	1080	753	Stromal_cells
Cell_8021	0.1	Fibroblasts	810	610	Stromal_cells
Cell_8022	0	Chondrocytes	1501	1004	Stromal_cells
Cell_8023	0.1	Smooth_muscle_cells	1379	1019	Stromal_cells
Cell_8024	0	T_cells	521	456	Immune_cells
Cell_8025	0.3	Fibroblasts	627	512	Stromal_cells
Cell_8026	0	Fibroblasts	2902	1660	Stromal_cells
Cell_8027	0	Chondrocytes	546	452	Stromal_cells
Cell_8028	0.3	Platelets	676	525	
Cell_8029	0	NK_cell	872	706	Immune_cells
Cell_8030	0	B_cell	924	689	Immune_cells
Cell_8031	0	T_cells	790	644	Immune_cells
Cell_8032	0	T_cells	901	726	Immune_cells
Cell_8033	0.1	B_cell	879	682	Immune_cells
Cell_8034	0	Monocyte	1157	881	Immune_cells
Cell_8035	0.2	Fibroblasts	616	510	Stromal_cells
Cell_8036	0	B_cell	1074	804	Immune_cells
Cell_8037	0.1	Epithelial_cells	7291	3339	Epithelial_cells
Cell_8038	0	Monocyte	824	665	Immune_cells
Cell_8039	0	T_cells	541	447	Immune_cells
Cell_8040	0	Platelets	533	441	
Cell_8041	0	Fibroblasts	8122	3233	Stromal_cells
Cell_8042	0.4	Osteoblasts	532	453	Stromal_cells
Cell_8043	0.1	T_cells	1803	1161	Immune_cells
Cell_8044	0	Smooth_muscle_cells	552	431	Stromal_cells
Cell_8045	0.1	NK_cell	753	610	Immune_cells
Cell_8046	0	NK_cell	824	645	Immune_cells
Cell_8047	0.5	Epithelial_cells	607	489	Epithelial_cells
Cell_8048	0.1	Macrophage	676	531	Immune_cells
Cell_8049	0.2	Fibroblasts	550	468	Stromal_cells
Cell_8050	0	Tissue_stem_cells	1837	1130	
Cell_8051	0.4	B_cell	743	601	Immune_cells
Cell_8052	0.5	T_cells	644	543	Immune_cells
Cell_8053	0.1	DC	1872	1238	
Cell_8054	0.5	Fibroblasts	1431	999	Stromal_cells
Cell_8055	0.2	T_cells	638	514	Immune_cells
